project,bug_ID,priority,type(person1),type(person2),type(final decision),PR,Explanation
Lucene,LUCENE-10665,Critical,T2.2.2,T2.2.2,T2.2.2,https://github.com/apache/lucene/pull/11718/files,C# readonly protect thread.
Lucene,LUCENE-10519,Critical,T2.3.3,T2.3.3,T2.3.3,https://github.com/apache/lucene/pull/816,Reverted PR
Lucene,LUCENE-6390,Critical,T2.1.2,T2.1.2,T2.1.2,https://svn.apache.org/viewvc?view=revision&revision=1671078,"No implementation in C# ""NearSpansOrdered.cs"""
Lucene,LUCENE-10590,Major,T2.1.3,T2.1.3,T2.1.3,https://github.com/apache/lucene/pull/12770/files,"No module ""HNSW"" in lucenenet."
Lucene,LUCENE-10551,Major,T2.1.3,T2.1.3,T2.1.3,https://github.com/apache/lucene/commit/138d40e6573#diff-ce21355c0ebef1bc9f37b7d906273424198e5f6f6ae93f105f8f0eb1552deecd,"No module ""compress"" in lucenenet."
Lucene,LUCENE-10544,Major,T2.1.2,T2.1.2,T2.1.2,https://github.com/apache/lucene/commit/aa082b46f66,No implementation in IndexSearcher.cs
Lucene,LUCENE-10441,Major,T1.2.1,T1.2.1,T1.2.1,https://github.com/apache/lucene/pull/12392/files,C# does not need to consider overflow.
Lucene,LUCENE-10431,Major,T2.1.2,T2.1.2,T2.1.2,https://github.com/apache/lucene/pull/726/files,No setter method in C#
Lucene,LUCENE-10423,Major,T2.2.2,T2.2.2,T2.2.2,https://github.com/apache/lucene/commit/dbffe3472b6c6016cbc353aa42f3dd3dc5fc9dba#diff-1f629e9745171a9ace57021de8b92b1337ab1b260e93ddefcba2a72e33c6dfdeR186,System.nanotime is a java api. C# use another api.
Lucene,LUCENE-10314,Major,T2.1.1,T2.1.1,T2.1.1,https://github.com/apache/lucene/pull/12360/files,C# has no IndexOptions.cs
Lucene,LUCENE-10271,Major,T2.1.2,T2.1.2,T2.1.2,https://github.com/apache/lucene/commit/c89c78c#diff-5f58f7980802006ec5dcfaa58cdfa6b218bfca46d8f317dcca3a1c5881b80c64R2129,"No implementation in C# ""CheckIndex.cs"""
Lucene,LUCENE-10177,Major,T2.1.3,T2.1.3,T2.1.3,https://github.com/apache/lucene/pull/670/files,"No module ""backward_codecs"" in lucenenet"
Lucene,LUCENE-10176,Major,T2.3.3,T2.3.3,T2.3.3,https://github.com/apache/lucene/pull/676/files,Reverted PR
Lucene,LUCENE-10175,Major,T2.1.3,T2.1.3,T2.1.3,https://github.com/apache/lucene/pull/12101/files,"No module ""backward_codecs"" in lucenenet"
Lucene,LUCENE-10075,Major,T2.1.3,T2.1.3,T2.1.3,https://github.com/apache/lucene/pull/370/files,"No module ""interval"" in lucenenet"
Lucene,LUCENE-10057,Major,T2.1.2,T2.1.2,T2.1.2,https://github.com/apache/lucene/commit/5896e53,No implementation in IndexFiles.cs
Lucene,LUCENE-9992,Major,T2.1.1,T2.1.1,T2.1.1,https://github.com/apache/lucene/commit/f5e050b,C# has no AssertingVectorFormat.cs
Lucene,LUCENE-9889,Major,T2.2.2,T2.2.2,T2.2.2,https://svn.apache.org/viewvc?view=revision&revision=1648813,C# sync different.
Lucene,LUCENE-9839,Major,T2.3.3,T2.3.3,T2.3.3,https://github.com/apache/lucene/commit/521c0e24f2d3f7137b2cab8dc99e9f5dace04a9d,Reverted PR
Lucene,LUCENE-9662,Major,T2.2.2,T2.2.2,T2.2.2,https://github.com/apache/lucene/commit/7f8607b#diff-5f58f7980802006ec5dcfaa58cdfa6b218bfca46d8f317dcca3a1c5881b80c64R492,C# has no threadcount parameter
Lucene,LUCENE-9621,Major,T2.1.2,T2.1.2,T2.1.2,https://github.com/apache/lucene-solr/commit/8e162e2#diff-b81932cf39b70347481b9659dd55b9b373427c2992cdacdfbc10ff8f4ea9eec0R487,No implementation in FieldInfo.cs
Lucene,LUCENE-9367,Major,T1.2.2,T1.2.2,T1.2.2,,All tests fail. The developers not fix them in Both VERSIONs
Lucene,LUCENE-9306,Major,T2.2.3,T2.2.3,T2.2.3,https://issues.apache.org/jira/secure/attachment/12999164/LUCENE-9306.patch,Lucene-solr bug. A third library
Lucene,LUCENE-9274,Major,T2.1.3,T2.1.3,T2.1.3,,"No module ""uhighlight"" in C#"
Lucene,LUCENE-9197,Major,T2.1.3,T2.1.3,T2.1.3,https://github.com/apache/lucene-solr/commit/996945f#diff-b5d1952ec698efedc4d13bd7db4e3a1bc5e2c6d1b4d2d8f1901ea7e3988911dcR71,"No module ""geo"" in C#"
Lucene,LUCENE-8819,Major,T2.1.2,T2.1.2,T2.1.2,https://issues.apache.org/jira/secure/attachment/12971454/LUCENE-8829.patch,No implementation in AssertingCollector.cs
Lucene,LUCENE-8756,Major,T2.1.3,T2.1.3,T2.1.3,https://github.com/apache/lucene-solr/pull/638/files,Hard to reproduce.
Lucene,LUCENE-8736,Major,T2.1.3,T2.1.3,T2.1.3,https://github.com/apache/lucene-solr/commit/dc88e15,"No module ""geo"" in C#"
Lucene,LUCENE-8721,Major,T2.1.3,T2.1.3,T2.1.3,https://issues.apache.org/jira/secure/attachment/12962158/LUCENE-8721.patch,"No module ""geo"" in C#"
Lucene,LUCENE-8695,Major,T2.1.1,T2.1.1,T2.1.1,,C# has no WordDelimiterGraphFilter.cs
Lucene,LUCENE-8692,Major,T2.1.2,T2.1.2,T2.1.2,https://github.com/apache/lucene-solr/commit/4bd7d68,No implementation in IndexWriter.cs
Lucene,LUCENE-8634,Major,T2.1.1,T2.1.1,T2.1.1,https://issues.apache.org/jira/secure/attachment/12954596/LUCENE-8634.patch,C# has no LatLonShape.cs
Lucene,LUCENE-8614,Major,T1.2.1,T1.2.1,T1.2.1,https://github.com/apache/lucene/pull/12392/files,Similar to 10441
Lucene,LUCENE-8454,Major,T2.1.3,T2.1.3,T2.1.3,https://issues.apache.org/jira/secure/attachment/12935403/LUCENE-8454.patch,"No module ""geo"" in C#"
Lucene,LUCENE-8288,Major,T2.1.1,T2.1.1,T2.1.1,https://issues.apache.org/jira/secure/attachment/12922313/LUCENE-8288.patch,C# has no ContextQuery.cs
Lucene,LUCENE-8137,Major,T2.1.3,T2.1.3,T2.1.3,https://issues.apache.org/jira/secure/attachment/12980600/SGF_SF_interaction.patch,"No module ""synonym"" in C#"
Lucene,LUCENE-8108,Major,T1.2.2,T1.2.2,T1.2.2,,All tests fail. The developers not fix them in Both VERSIONs
Lucene,LUCENE-8052,Major,T2.1.1,T2.1.1,T2.1.1,https://github.com/apache/lucene/commit/2ed60e80736dd81da182c51920a7b4ff71f358a1,C# has no VectorSimilarityFunction.cs
Lucene,LUCENE-7795,Major,T1.2.2,T1.2.2,T1.2.2,,All tests fail. The developers not fix them in Both VERSIONs
Lucene,LUCENE-7682,Major,T2.1.3,T2.1.3,T2.1.3,https://svn.apache.org/viewvc?view=revision&revision=1685517,"No module ""uhighlight"" in C#"
Lucene,LUCENE-7672,Major,T2.1.1,T2.1.1,T2.1.1,https://github.com/apache/lucene-solr/pull/152/files,C# has no CachingNaiveBayesClassifier.cs
Lucene,LUCENE-7571,Major,T2.1.2,T2.1.2,T2.1.2,https://github.com/apache/lucene-solr/commit/09b0eee#diff-5dbae5cf162a69206b4259cd11f86a51cfa27476fffebb3174f7a1f9e025cdcfR1331,No implementation in TestJoinUtil.cs
Lucene,LUCENE-7467,Major,T2.1.1,T2.1.1,T2.1.1,https://github.com/apache/lucene-solr/commit/6f6f73e#diff-6b87c37c88d04614da63fcd0999f6ae9268f9ebe4718f56a3827595b97b852f8R729,C# has no DefaultIndexingChain.cs
Lucene,LUCENE-7344,Major,T2.3.1,T2.3.1,T2.3.1,https://issues.apache.org/jira/secure/attachment/12823581/LUCENE-7344.patch,"Hard to reproduce in Java, since the implementations have changed"
Lucene,LUCENE-7315,Major,T2.1.1,T2.1.1,T2.1.1,https://issues.apache.org/jira/secure/attachment/12819153/LUCENE-7315.patch,C# has no SynonymQueryNodeBuilder.cs
Lucene,LUCENE-7189,Major,T2.1.3,T2.1.3,T2.1.3,https://github.com/apache/lucene-solr/commit/e034b04,"No module ""geo"" in C#"
Lucene,LUCENE-7185,Major,T2.1.3,T2.1.3,T2.1.3,https://github.com/apache/lucene-solr/commit/c135e9a,"No module ""geo"" in C#"
