R/I	bug_1_project	bug_1_ID 	bug_1_URL	bug_1_patch_URL	bug_2_project	bug_2 ID	bug_2_URL	bug_2_patch_URL	
reported	Lucene.Net	LUCENENET#559	https://github.com/apache/lucenenet/issues/559	https://github.com/apache/lucenenet/pull/563/files	Lucene	LUCENE-5716	https://issues.apache.org/jira/browse/LUCENE-5716	https://github.com/apache/lucene/commit/e9906a334b8e123e93b917c3feb6e55fed0a8c57	
reported	Lucene.Net	LUCENENET#418	https://github.com/apache/lucenenet/issues/418	https://github.com/apache/lucenenet/pull/434/files	Lucene	LUCENE-5768	https://issues.apache.org/jira/browse/LUCENE-5768	https://github.com/apache/lucene/commit/dd32343ee2ca8ac14d5093ef1aa0b91a7d8079c2	
reported	Lucene.Net	LUCENENET-598	https://issues.apache.org/jira/browse/LUCENENET-598	https://github.com/apache/lucenenet/commit/3b86123ce31d305b635e41c499e4ad53d4d25438	Lucene	LUCENE-6001	https://issues.apache.org/jira/browse/LUCENE-6001	https://github.com/apache/lucene/commit/e98b031bda5df7b63298c7b79ce04bd24e79af9d https://github.com/apache/lucene/commit/5f45083f676b3f46b3f9f2125c5c9e2083565d65	
reported	Hibernate	HHH-13456	https://hibernate.atlassian.net/browse/HHH-13456	https://github.com/hibernate/hibernate-orm/pull/3120/files	Nhibernate	NH#1244	https://github.com/nhibernate/nhibernate-core/issues/1244	https://github.com/nhibernate/nhibernate-core/pull/2757/files	
reported	Hibernate	HHH-15359	https://hibernate.atlassian.net/browse/HHH-15359	https://github.com/hibernate/hibernate-orm/pull/5230/files	Nhibernate	NH-2011	https://nhibernate.jira.com/browse/NH-2011	https://github.com/nhibernate/nhibernate-core/commit/04c7985fee89dec20814d9cd3f31736c52201bf9 https://github.com/nhibernate/nhibernate-core/commit/e239e179092aad64c1314eeab91930b153e48664;https://github.com/nhibernate/nhibernate-core/commit/13081b244fbfb97b2c8690fb03585d29f9c72182#diff-e93d9648ed2125e5de9b2ad5901278d969677b277e6309b7f3e8c4352fe38102	
reported	NHibernate	NH#1874	https://github.com/nhibernate/nhibernate-core/issues/1874	https://github.com/nhibernate/nhibernate-core/pull/1878/files	Hibernate	HHH-5742	https://hibernate.atlassian.net/browse/HHH-5742		
reported	NHibernate	NH#2552	https://github.com/nhibernate/nhibernate-core/issues/2552	https://github.com/nhibernate/nhibernate-core/pull/2576/files	Hibernate	HHH-14216	https://hibernate.atlassian.net/browse/HHH-14216	https://github.com/hibernate/hibernate-orm/pull/3590/files	
reported	NHibernate	NH#1730	https://github.com/nhibernate/nhibernate-core/issues/1730	https://github.com/nhibernate/nhibernate-core/pull/1731/files	Hibernate	HHH-5210	https://hibernate.atlassian.net/browse/HHH-5210	https://github.com/hibernate/hibernate-orm/commit/8e76bf9648aaacd7ba726b4c8cf15c2d0827caf7	
reported	NHibernate	NH-3931	https://nhibernate.jira.com/browse/NH-3931	https://github.com/nhibernate/nhibernate-core/pull/582/files	Hibernate	HHH-9864	https://hibernate.atlassian.net/browse/HHH-9864	https://github.com/apache/lucenenet/commit/c14c27e7696cf88d628dae83b5190d8c87e9fac8	
identified	JTS	JTS#852	https://github.com/locationtech/jts/issues/852	https://github.com/locationtech/jts/pull/867/files#	NTS	N/A	N/A	https://github.com/NetTopologySuite/NetTopologySuite/commit/cdaed3e9a8c7167f2d0fa6d0fca65e64748ddbfe	
